,ingredient,category,description,rating,rating_num
1344,potassium citrate,miscellaneous,Potassium citrate is a buffering agent that is the potassium salt of citric acid.,Good,3.0
1345,potassium hydroxide,cleansing agents,"Also known as lye, a highly alkaline ingredient used in small amounts in cosmetics to modulate the...",Average,1.0
1346,potassium myristate,cleansing agents,Detergent cleansing agent that is a constituent of soap; it can be drying and aggravate skin for some...,Average,1.0
1347,potassium pca,"skin-replenishing, hydration","Potassium PCA is the potassium salt of PCA (pyrrolidone carboxylic acid), a substance that’s a natural part of skin’s intercellular matrix.",Best,5.0
1348,potassium phosphate,uncategorized,An inorganic (not composed of plant or animal matter) salt used as a buffering agent and pH...,Good,3.0
1349,potassium sorbate,preservatives,"Used as a preservative, almost always used in conjunction with other preservatives.",Good,3.0
1350,ppg-12/smdi copolymer,texture enhancer,A copolymer that serves as a film-forming agent...,Good,3.0
1351,ppg-12 buteth-16,"texture enhancer, cleansing agents",Versatile ingredient composed of several non-volatile alcohols. Functions as a skin-conditioning...,Good,3.0
1352,ppg-14 butyl ether,uncategorized,Used as a hair- and skin-conditioning agent.,Good,3.0
1353,ppg-20 methyl glucose ether,uncategorized,"A synthetic ingredient that funtions as hair- and skin-replenishing agent. The ""PPG"" designation...",Good,3.0
1354,ppg-26-buteth-26,"emulsifiers, cleansing agents","PPG stands for polypropylene glycol, and this ingredient combines PPG with a fatty alcohol....",Good,3.0
1355,ppg-2-deceth-30,uncategorized,An emulsifying agent partially derived from a fatty alcohol.,Good,3.0
1356,ppg-2 myristyl ether propionate,texture enhancer,"Mixture of glycols and fatty alcohols used as a skin-conditioning agent and, in some cases, as a...",Good,3.0
1357,ppg-3 benzyl ether myristate,emollients,An emollient that has a silicone-like feel and multiple functions in cosmetic products...,Good,3.0
1358,preservatives,preservatives,Substances used in cosmetics to help defend against contamination of products...,Good,3.0
1359,proline,"antioxidants, skin-replenishing",,Good,3.0
1360,propanediol,uncategorized,A glycol that can enhance the absorption of ingredients…,Good,3.0
1361,propolis,"skin-soothing, antioxidants","Brownish, resinous material that is collected by bees and used to construct the hive. It has...",Good,3.0
1362,propylene carbonate,texture enhancer,Liquid used as a solvent and film-forming agent.,Good,3.0
1363,propylene glycol,texture enhancer,"Along with other glycols and glycerol, propylene glycol is a humectant (hydrating) and delivery ingredient...",Good,3.0
1364,propylene glycol dibenzoate,emollients,propylene glycol dibenzoate,Good,3.0
1365,propylene glycol dicaprylate/dicaprate,uncategorized,A gel-textured ingredient used in many lightweight moisturizers. It is a mix of propylene glycol...,Good,3.0
1366,propylene glycol isostearate,"texture enhancer, emollients",A mixture of propylene glycol and isostearic acid. See both. This ingredient is used as an...,Good,3.0
1367,propylene glycol laurate,emollients,"The ester of propylene glycol and lauric acid, which is a constituent of many vegetable fats.",Good,3.0
1368,propylene glycol stearate,texture enhancer,Mixture of propylene glycol and stearic acid used as a skin-conditioning agent and emulsifier.,Good,3.0
1369,propyl gallate,antioxidants,"An ester of gallic acid that is an antioxidant, and helps protect fats and oils used in cosmetics products from becoming rancid...",Best,5.0
1370,propylparaben,preservatives,,Poor,-1.0
1371,prunella vulgaris,"skin-soothing, antioxidants, plant extracts",,Average,1.0
1372,prunus americana,"antioxidants, plant extracts",,Good,3.0
1373,prunus amygdalus dulcis,"plant extracts, emollients",,Good,3.0
1374,prunus armeniaca,"plant extracts, emollients",,Good,3.0
1375,prunus domestica seed extract,"antioxidants, plant extracts",,Good,3.0
1376,prunus domestica seed oil,"antioxidants, plant extracts, emollients","Non-fragrant plant oil, more commonly known as plum (and, when dried, prune) that is a rich source of several potent antioxidants.",Best,5.0
1377,prunus dulcis,emollients,,Good,3.0
1378,prunus serotina (wild cherry) fruit extract,"antioxidants, plant extracts","Commonly known as black cherry, wild cherry extract is a potent source of antioxidants, notably several kinds of antioxidants known as polyphenols.",Best,5.0
1379,pseudopterogorgia elisabethae,"skin-soothing, antioxidants",,Best,5.0
1380,psidium guajava fruit extract,"antioxidants, plant extracts","Guava extract is a rich source of bioactive antioxidants including gallic acid, quercetin, and tocopherol.",Best,5.0
1381,pueraria lobata,"antioxidants, plant extracts",,Best,5.0
1382,pullulan,"antioxidants, texture enhancer","Glucan gum produced by black yeast that contains polysaccharides, which makes it a good...",Good,3.0
1383,pumpkin,"antioxidants, plant extracts","Plant whose seeds are a rich source of fatty acids and several antioxidant components, including...",Best,5.0
1384,pumpkin seed extract,"antioxidants, skin-replenishing, texture enhancer, emollients",Type of squash that is a very good source of antioxidant cartenoids. Pumpkin seed oil and extract...,Best,5.0
1385,punica granatum extract,"antioxidants, plant extracts",,Best,5.0
1386,purified water,uncategorized,,Good,3.0
1387,purslane,"skin-soothing, plant extracts",,Best,5.0
1388,pvm/ma decadiene crosspolymer,texture enhancer,Synthetic polymer used as a film-forming and thickening agent.,Good,3.0
1389,pvp,texture enhancer,,Good,3.0
1390,pvp/dimethylaminoethylmethacrylate,texture enhancer,Polymer formed from PVP (polyvinylpyrrolidone) and the film-forming agent dimethylaminomethacrylate.,Good,3.0
1391,pvp copolymer,texture enhancer,,Good,3.0
1392,pycnogenol,"antioxidants, plant extracts",Antioxidant derived from the bark of the French Maritime pine tree. The term pycnogenol was...,Best,5.0
1393,pyridoxine hydrochloride (hcl),"antioxidants, vitamins",Scientific name for vitamin B6; may have antioxidant benefits for skin when...,Good,3.0
1394,pyrus cydonia,"plant extracts, texture enhancer",,Poor,-1.0
1395,pyrus malus (apple) fruit extract,"skin-restoring, plant extracts, texture enhancer",Pyrus malus (apple) fruit extract is a species of apple; the fruit is a tremendous source of polyphenolic antioxidants.,Best,5.0
1396,quaternium-15,preservatives,"Formaldehyde-releasing preservative used in cosmetics. It can be a skin sensitizer, as can all...",Poor,-1.0
1397,quaternium-18 hectorite,texture enhancer,Used as a suspending agent and also has emulsifying properties.,Good,3.0
1398,quaternium ammonium compounds,uncategorized,"A wide range of ingredients, called “quats” for short, that share a unique molecular structure that...",Good,3.0
1399,quercetin,"antioxidants, plant extracts","A bioflavonoid ingredient from plants. Quercetin occurs naturally in red wine, tea, onions, kale, tomatoes, berries, and many other fruits and vegetables...",Best,5.0
1400,quercus,plant extracts,,Poor,-1.0
1401,quercus infectoria extract,plant extracts,,Poor,-1.0
1402,quillaja extract,plant extracts,"Extract of the Chilean soap bark tree. It contains a good amount of saponins, which have cleansing,...",Good,3.0
1403,quince seed,"plant extracts, texture enhancer","Used as a thickening agent in cosmetics, but also has skin-constricting properties...",Poor,-1.0
1404,quinoa oil,"plant extracts, emollients","Derived from quinoa grain, it may have disinfectant properties (Source: Journal of Agricultural Food...",Good,3.0
1405,rapeseed oil,"antioxidants, emollients, plant extracts",Nonfragrant oil that has emollient and potential antioxidant properties for skin (Source: British...,Best,5.0
1406,raphanus sativus (radish) seed oil,"plant extracts, emollients, antioxidants",Raphanus sativus (radish) seed oil is non-fragrant plant oil that’s a rich source of unsaturated fatty acids.,Best,5.0
1407,raspberry seed extract,"antioxidants, plant extracts",,Good,3.0
1408,raspberry seed oil,"antioxidants, plant extracts",,Good,3.0
1409,red 27 lake,coloring agents/pigments,,Good,3.0
1410,red 28,coloring agents/pigments,Red 28 is a synthetic coloring agent that uses a combination of colors to create its red hue.,Good,3.0
1411,red 33,coloring agents/pigments,,Good,3.0
1412,red 6 lake,coloring agents/pigments,,Good,3.0
1413,red 7 lake,coloring agents/pigments,Red 7 lake is a synthetic coloring agent approved for use in drugs and cosmetics.,Good,3.0
1414,red algae,"antioxidants, texture enhancer, emollients, plant extracts",,Best,5.0
1415,red clover,"skin-soothing, antioxidants, plant extracts",Can have antioxidant and soothing properties...,Good,3.0
1416,reducing agent,cleansing agents,Versatile ingredient composed of several non-volatile alcohols. Functions as a...,Good,3.0
1417,resveratrol,"skin-soothing, plant extracts, antioxidants","Potent polyphenolic antioxidant that is abundant in red grapes and, therefore, in red wine...",Best,5.0
1418,retinol,"antioxidants, vitamins, skin-restoring","Retinol, the name for the entire vitamin A molecule, is a skin-restoring ingredient and an antioxidant.",Best,5.0
1419,retinyl ascorbate,"antioxidants, vitamins",An ester of vitamin A (retinoic acid) and vitamin C (ascorbic acid) that functions as an antioxidant...,Best,5.0
1420,retinyl palmitate,"antioxidants, skin-restoring, vitamins",Combination of retinol (pure vitamin A) and the fatty acid palmitic acid. Research has shown...,Best,5.0
1421,retinyl retinoate,"skin-restoring, vitamins","A synthetic, ""new generation"" retinol with research showing its usefulness for skin...",Best,5.0
1422,rhodiola rosea root extract,antioxidants,"The extract of the plant Rhodiola rosea, also known as Arctic root or golden root, that is high in antioxidants and flavonoids.",Best,5.0
1423,riboflavin,vitamins,,Average,1.0
1424,rice bran oil,"plant extracts, emollients",Emollient oil similar to other nonfragrant plant oils. There is no research showing this has any...,Good,3.0
1425,rice oil,"plant extracts, emollients",Emollient similar to other nonfragrant plant oils. There is no research showing this has any...,Good,3.0
1426,rice starch,"plant extracts, absorbent",Absorbent substance sometimes included in products rather than talc....,Good,3.0
1427,ricinoleate,texture enhancer,Glyceryl triester used in cosmetics as a thickening agent and emollient.,Good,3.0
1428,ricinus communis,"plant extracts, emollients",,Good,3.0
1429,robinia pseudacacia extract,"antioxidants, plant extracts",,Poor,-1.0
1430,rosa canina,"antioxidants, emollients, plant extracts",,Good,3.0
1431,rosa centifolia,"antioxidants, emollients, plant extracts",,Good,3.0
1432,rosa centifolia flower,"antioxidants, emollients, plant extracts",,Good,3.0
1433,rosa damascena oil,"plant extracts, fragrance: synthetic and fragrant plant extracts",Oil of a very fragrant pink rose used as fragrance in cosmetics.,Poor,-1.0
1434,rosa eglanteria,"antioxidants, emollients, plant extracts",,Good,3.0
1435,rosa gallica flower extract,"plant extracts, fragrance: synthetic and fragrant plant extracts",Fragrant extract.,Poor,-1.0
1436,rosa mosqueta,"antioxidants, plant extracts, emollients",,Good,3.0
1437,rosa roxburghii extract,"antioxidants, plant extracts","Extract from the chestnut rose; can be a source of antioxidants for skin, and does not impart...",Best,5.0
1438,rosa rubiginosa,"antioxidants, plant extracts, emollients",,Good,3.0
1439,rose flower,"plant extracts, fragrance: synthetic and fragrant plant extracts",Highly fragrant substance that can be a skin sensitizer.,Poor,-1.0
1440,rose flower oil,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing","Fragrant, volatile oil that can aggravate skin. There is no research showing...",Poor,-1.0
1441,rose hip,"antioxidants, plant extracts, emollients",,Good,3.0
1442,rose hip oil,"antioxidants, plant extracts, emollients",Good emollient oil that has antioxidant properties (Sources: Journal of Agricultural Food...,Good,3.0
1443,rosemary extract,"plant extracts, fragrance: synthetic and fragrant plant extracts, antioxidants","Extract that can have antioxidant benefit for skin (Source: Journal of Agricultural Food Chemistry,...",Good,3.0
1444,rosemary oil,"antioxidants, plant extracts, fragrance: synthetic and fragrant plant extracts","Fragrant plant oil derived from rosemary, Latin name Rosmarinus officinalis. This ingredient is primarily used as a fragrance in cosmetics...",Poor,-1.0
1445,rose oil,"plant extracts, fragrance: synthetic and fragrant plant extracts","Fragrant, volatile oil that can aggravate skin.",Poor,-1.0
1446,rosewood oil,"plant extracts, fragrance: synthetic and fragrant plant extracts","Fragrant plant oil with a spicy-sweet scent, also known as bois de rose. It is extracted from wood...",Poor,-1.0
